,Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,geometry,centers
10,HR_Daybreak_Warm,,,,,,-1,0,-1,,,"POLYGON Z ((-99.40337232836086 44.69265806318064 508.6040956607531, -99.39351538723477 44.69262372524314 509.3395633689153, -99.39361204606388 44.68568375493891 511.72608288445, -99.40341378722385 44.68575016601372 512.4778414784445, -99.40337232836086 44.69265806318064 508.6040956607531))",POINT (-99.39847452751961 44.68918212909147)
11,SR_Higgins,,,,,,-1,0,-1,,,"POLYGON Z ((-99.02424816080517 45.83876053506732 605.3385986265379, -99.02377940700725 45.84519670840823 612.0837274609823, -99.01509384717164 45.8455966089686 610.984234197928, -99.01488397508808 45.83875840421013 602.6389825168122, -99.02424816080517 45.83876053506732 605.3385986265379))",POINT (-99.01945489848009 45.8420370169419)
12,SatRanch CTWD DC,,,,,,-1,0,-1,,,"POLYGON Z ((-101.8872910706702 44.08098093780141 754.7099131364486, -101.8871911818477 44.05996830490856 777.7520920005385, -101.8970943919743 44.05987924252388 789.0072028855535, -101.8971591321602 44.06356363382741 793.2021498789403, -101.9022152894044 44.06353168563345 788.2150677364868, -101.9018076179994 44.06707256516994 806.8628647804425, -101.9053665290908 44.06706201855454 797.2569322867552, -101.9116369990291 44.06701691243597 783.8682108651983, -101.9119167324308 44.07441834618155 822.0787085300491, -101.9171815970861 44.07426591636685 806.0977676279692, -101.9173797017382 44.081639835168 791.1292827602206, -101.9069116447206 44.08164024493902 777.9494407131959, -101.8877260925634 44.08158830214229 752.7609888074818, -101.8872910706702 44.08098093780141 754.7099131364486))",POINT (-101.8997047763563 44.07273658365342)
13,SatRanch CTWD DC 2,,,,,,-1,0,-1,,,"POLYGON Z ((-101.8871765400817 44.06353611184537 784.73969554422, -101.8870824596685 44.07435666294737 775.4114889347666, -101.857430774212 44.07443081871789 787.0701856889372, -101.8574005343952 44.07081816052679 806.5127348202266, -101.8473189756318 44.07086967432352 770.6646138003624, -101.8471339360396 44.06337708303811 791.1180788877846, -101.8573124386298 44.06354101199777 808.0474264551162, -101.8572478278687 44.05455902081126 801.5182701879825, -101.8775517858672 44.05417061771439 756.7710365048054, -101.8774485071315 44.05631908514722 766.9580149974474, -101.8826078353794 44.05632612244597 772.6774755954766, -101.882469610038 44.06355981655042 774.7320836549256, -101.8871765400817 44.06353611184537 784.73969554422))",POINT (-101.86885150125536 44.06521310666228)
14,Hayti_Ranch_Pasture,,,,,,-1,0,-1,,,"POLYGON Z ((-97.15792919575784 44.71685344595725 539.0198661359982, -97.1637175937023 44.71682910842232 529.6339823096135, -97.1633027296641 44.71785680737166 534.1339537634773, -97.16188738919624 44.71842862105604 534.0736727574358, -97.16189000601555 44.71963050715881 537.2015572966436, -97.16305483209976 44.71976819785654 537.8774754398894, -97.16316561021067 44.7209107204031 537.7304391714291, -97.15814384193123 44.72112877273912 535.6963923601518, -97.15792919575784 44.71685344595725 539.0198661359982))",POINT (-97.16042457499468 44.71888189540765)
15,Hayti 3 Creek pasture,,,,,,-1,0,-1,,,"POLYGON Z ((-97.15109479757264 44.66638580510253 525.6669780582789, -97.15123496566424 44.67344377723638 529.0830967885149, -97.14820927921906 44.67353777557147 526.1480952239496, -97.14835644959403 44.66648910467575 524.8810414344896, -97.15109479757264 44.66638580510253 525.6669780582789))",POINT (-97.14972449554132 44.67002269690122)
16,"Hayti Site 2, mostly native, similar community",,,,,,-1,0,-1,,,"POLYGON Z ((-97.15793639824464 44.70851469857132 532.2171287078017, -97.1580577381436 44.70985602218623 526.8534910211479, -97.14793074287023 44.71000232200149 539.6610845525835, -97.14781945540945 44.70410562927407 543.7170025184728, -97.15432230862422 44.70418886671387 544.5750561620351, -97.15437089747368 44.70629789858313 537.5474170614485, -97.15552151351754 44.70731061683612 534.7215189757694, -97.15590442831831 44.70759363938535 534.2349060807313, -97.15618519055917 44.70761706546241 534.638563518364, -97.15650856679218 44.70831421946836 532.1252897620691, -97.15793639824464 44.70851469857132 532.2171287078017))",POINT (-97.15192488592884 44.70732942635179)
17,Hayti 4,,,,,,-1,0,-1,,,"POLYGON Z ((-97.10785561535918 44.66262729422719 528.3865785112423, -97.10780634415896 44.66070936450543 526.486137733657, -97.1086913881136 44.66102932208248 526.2664309996039, -97.11167055633616 44.6611845527794 523.4896494751957, -97.11210026897584 44.66139576721562 525.5808125641921, -97.11265832210124 44.66152285707776 525.6988889584042, -97.11390219072486 44.66073423063429 525.8548040341202, -97.11526818861469 44.66040012175259 524.3120552551308, -97.11673351029094 44.66001987946265 521.5326212748781, -97.11688260623903 44.65915457831917 520.1429042847518, -97.11787668952634 44.65918785780183 518.7531872946254, -97.11800830024055 44.66260361323228 522.2196584583394, -97.10785561535918 44.66262729422719 528.3865785112423))",POINT (-97.11363799657886 44.66154583156713)
18,Gettysburg Site1,,,,,,-1,0,-1,,,"POLYGON Z ((-100.0413659090527 45.13669268793365 606.8136170519972, -100.0415488592667 45.14404189955408 606.2229374672071, -100.0212748487259 45.14387217322842 647.519795013017, -100.0212645855742 45.13683568530831 644.1173222981133, -100.0413659090527 45.13669268793365 606.8136170519972))",POINT (-100.03143673339757 45.14036566259945)
19,Gettysburg Site 2,,,,,,-1,0,-1,,,"POLYGON Z ((-100.0725754455495 45.10044089352977 593.7100882397039, -100.0626302360522 45.10048332170679 584.2947442854456, -100.0629156813372 45.08608877213239 612.3350639451085, -100.0795310562264 45.08638776522841 603.8172374286305, -100.0795629402824 45.08710297833778 606.3868726713328, -100.0744165502583 45.08723860193461 600.5861732775832, -100.0740635165571 45.09008495483589 596.2150057669346, -100.0726109011624 45.0903127134272 595.3910335454134, -100.0725754455495 45.10044089352977 593.7100882397039))",POINT (-100.06818074720142 45.09293866078304)
20,Gettysburg site 3,,,,,,-1,0,-1,,,"POLYGON Z ((-100.0612937837266 45.09816771536007 584.2307329293832, -100.0613343837308 45.09988247060596 584.6599455715974, -100.0582179811134 45.09996568205018 586.5045619071615, -100.0554333816758 45.09776060820244 591.7254238049609, -100.0549821671408 45.08614297552441 610.8048564796878, -100.0622711262086 45.08619929838275 610.2098448680345, -100.0619417897229 45.09811047263693 584.3053061649748, -100.0612937837266 45.09816771536007 584.2307329293832))",POINT (-100.05869940028465 45.09262052390835)
